example_id,historical_mean_amount,historical_std_amount,historical_max_amount,historical_transaction_count,current_vs_mean_amount_ratio,amount_zscore_personal,historical_mean_distance,distance_ratio_to_typical,current_channel_frequency_history,current_channel_is_unusual,current_merchant_frequency_history,current_merchant_is_unusual,tx_count_1h,tx_count_6h,tx_count_24h,tx_count_7d,amount_mean_24h,amount_max_24h,amount_sum_24h,merchant_diversity_24h,channel_diversity_24h,international_count_24h,has_short_history
EX_000000001,1005.76,0.0,1005.76,1.0,3.9698437002863507,0.0,41.98,0.2484516436398285,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,1.0
EX_000000002,2499.235,1493.475,3992.71,2.0,0.059274137886193165,-1.5742446308106934,26.205,0.22591108567067356,0.5,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3992.71,3992.71,3992.71,1.0,1.0,0.0,1.0
EX_000000003,1715.5366666666669,1647.8302519036629,3992.71,3.0,0.0777074618049551,-0.960187898503983,19.44333333333333,0.20161152065832336,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,2.0,nan,nan,0.0,0.0,0.0,0.0,0.0
EX_000000004,1319.9800000000002,1583.0046222137191,3992.71,4.0,0.025727662540341516,-0.8123918161411259,15.5625,1.946987951807229,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,nan,nan,0.0,0.0,0.0,0.0,0.0
EX_000000005,1062.7760000000003,1506.4323740626394,3992.71,5.0,0.17318795305878187,-0.5833092909642038,18.509999999999998,1.4521880064829822,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
EX_000000006,916.3233333333336,1413.6326724278676,3992.71,6.0,3.367894156720516,1.5348801064000455,19.904999999999998,4.017583521728209,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0
EX_000000007,1226.2885714285715,1513.0592872004963,3992.71,7.0,0.39849511068240756,-0.4875014334655276,28.485714285714284,0.6006519558676028,0.42857142857142855,0.0,0.0,1.0,0.0,0.0,0.0,2.0,nan,nan,0.0,0.0,0.0,0.0,0.0
EX_000000008,1134.08625,1436.2063682836242,3992.71,8.0,0.26324276482498576,-0.5817731131484547,27.06375,0.47997783012331996,0.125,0.0,0.125,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0
EX_000000009,1041.2477777777779,1379.294366976404,3992.71,9.0,0.5291920057452436,-0.3554192560449747,25.5,0.3807843137254902,0.4444444444444444,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0
EX_000000010,992.2250000000001,1316.7523496713418,3992.71,10.0,0.657784272720401,-0.25787309214580273,23.921,2.6796538606245557,0.2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0
EX_000000011,961.3563636363638,1259.2632587009157,3992.71,11.0,0.14874817019892347,-0.6498691659443782,27.573636363636364,1.6693481916191355,0.2727272727272727,0.0,0.0,1.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0
EX_000000012,893.1600000000002,1226.6852935044099,3992.71,12.0,0.050662815173093276,-0.6912204821317132,29.111666666666668,0.49052498998110716,0.4166666666666667,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0
EX_000000013,827.936153846154,1200.0233692694903,3992.71,13.0,6.08279995577511,3.5067932457978648,27.970769230769232,3.873329299818492,0.23076923076923078,0.0,0.0,1.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0
EX_000000014,1128.524285714286,1584.8617804073385,5036.17,14.0,1.2304564621053788,0.16409993445540072,33.71142857142858,4.306254767353164,0.0,1.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
EX_000000015,1145.8626666666669,1532.4957023820837,5036.17,15.0,0.0768329421675896,-0.6902614245654369,41.142,0.665013854455301,0.06666666666666667,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0
EX_000000016,1079.7487500000002,1505.763887570338,5036.17,16.0,0.07519341883933645,-0.6631575894752323,40.280625,0.1906623842107713,0.375,0.0,0.1875,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0
EX_000000017,1021.0100000000001,1479.5799015499595,5036.17,17.0,2.0291084318468964,0.7101542802110851,38.362941176470585,1.1028872839903707,0.23529411764705882,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0
EX_000000018,1079.383888888889,1457.897305917513,5036.17,18.0,0.8266197125829498,-0.12836561816067826,38.58222222222222,0.10937679990784471,0.3888888888888889,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
EX_000000019,1069.534210526316,1419.6282224742608,5036.17,19.0,0.10046429458962705,-0.6777015244523004,36.77368421052632,2.672563331902104,0.10526315789473684,0.0,0.10526315789473684,0.0,0.0,1.0,1.0,1.0,892.24,892.24,892.24,1.0,1.0,0.0,0.0
EX_000000020,1021.4300000000003,1399.4796754079712,5036.17,20.0,0.068736966801445,-0.679695473049799,39.849000000000004,0.07377851388993449,0.4,0.0,0.15,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
EX_000000021,976.1338095238098,1380.693409015837,5036.17,21.0,2.7784407972950618,1.2573364797284101,38.09142857142857,0.009713471347134713,0.42857142857142855,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,1.0,nan,nan,0.0,0.0,0.0,0.0,0.0
