epoch,train_loss,validation_loss,train_ap,validation_ap,learning_rate
1,0.434480508780953,0.475224798958226,0.5015740800066122,0.4398855248852442,0.0008
2,0.37397352040641685,0.46301465179710244,0.6090636540514582,0.5413818403106534,0.0008
3,0.3244475997472672,0.4454859215355152,0.6640551149660651,0.587123489963616,0.0008
4,0.2932513956096759,0.41450496125088476,0.7214272523364447,0.652700800446726,0.0008
5,0.26574554321952815,0.42059914303020945,0.7527630631501316,0.6698037125899066,0.0008
6,0.25310598069770496,0.4455294046290361,0.7657725684377197,0.6788666818283555,0.0008
7,0.24033101244408966,0.4519855160799086,0.7963142177378278,0.7031993458620127,0.0008
8,0.20367652342141926,0.5307629892697867,0.8174218180620134,0.7103595703137181,0.0008
9,0.20515813492134133,0.4858452811334094,0.8368209639039391,0.7206737920131867,0.0008
10,0.16843938362265118,0.5687962432657432,0.8431092816489175,0.7063297797628175,0.0008
11,0.17052392528974458,0.5367360476309773,0.8614435103690808,0.7144243794950621,0.0008
12,0.13327161052797643,0.7837074320811326,0.8790872235729517,0.7194914555720832,0.0008
13,0.12318281020737873,0.7921286118256685,0.8924975911350578,0.6981072848019982,0.0008
14,0.10770754733787088,0.9239111648456917,0.9018982174226933,0.7101637466596904,0.0008
