transaction_id,target_timestamp,fraud_type,hard_negative_type,history_length,risk_score,threshold,amount,channel,merchant
TX_000087462,2025-06-14T15:26:37,amount_anomaly,none,12,0.00024833871559285425,0.05548898134596948,5296.1,POS,travel
TX_000091567,2025-06-21T23:25:57,amount_anomaly,none,12,0.002176958399057909,0.05548898134596948,752.95,CONTACTLESS,travel
TX_000087906,2025-06-15T12:50:48,amount_anomaly,none,12,0.009791968610758046,0.05548898134596948,6181.11,POS,retail
TX_000083935,2025-06-07T19:29:13,channel_takeover,none,12,0.01497374830134143,0.05548898134596948,411.32,CONTACTLESS,restaurant
TX_000084127,2025-06-08T10:23:07,channel_takeover,none,12,0.022704558098910317,0.05548898134596948,112.56,ATM,retail
TX_000084135,2025-06-08T10:41:07,channel_takeover,none,12,0.030406100224888096,0.05548898134596948,336.25,CONTACTLESS,entertainment
TX_000087692,2025-06-14T21:29:16,testing_cashout,none,12,0.026779976750915955,0.05548898134596948,31.85,ONLINE,services
TX_000090111,2025-06-19T12:09:48,amount_anomaly,none,12,0.0006298133472945713,0.05548898134596948,671.78,POS,travel
TX_000081604,2025-06-03T14:15:49,amount_anomaly,none,12,0.0006964351854175143,0.05548898134596948,969.64,POS,travel
TX_000089135,2025-06-17T14:40:13,amount_anomaly,none,12,0.002741553444290219,0.05548898134596948,539.58,POS,electronics
