transaction_id,target_timestamp,fraud_type,hard_negative_type,history_length,risk_score,threshold,amount,channel,merchant
TX_000083367,2025-06-06T17:52:45,legitimate,legitimate_micro_purchases,12,0.08615520521799033,0.05548898134596948,14.88,CONTACTLESS,services
TX_000088985,2025-06-17T10:56:43,legitimate,legitimate_micro_purchases,12,0.8854314580414515,0.05548898134596948,7.37,CONTACTLESS,services
TX_000085776,2025-06-11T12:14:51,legitimate,legitimate_micro_purchases,12,0.9948007363184652,0.05548898134596948,11.04,ONLINE,services
TX_000084308,2025-06-08T15:52:25,legitimate,legitimate_shopping_spree,12,0.056849414093523315,0.05548898134596948,259.28,CONTACTLESS,retail
TX_000093093,2025-06-24T20:27:53,legitimate,legitimate_shopping_spree,12,0.08739204882462574,0.05548898134596948,30.17,CONTACTLESS,retail
TX_000089104,2025-06-17T14:04:02,legitimate,legitimate_shopping_spree,12,0.23026062614387777,0.05548898134596948,49.37,CONTACTLESS,restaurant
TX_000090265,2025-06-19T15:35:08,legitimate,legitimate_trip,12,0.12784504581413775,0.05548898134596948,840.54,ATM,restaurant
TX_000085255,2025-06-10T13:06:38,legitimate,legitimate_trip,12,0.44631899885716236,0.05548898134596948,208.91,ATM,restaurant
TX_000091077,2025-06-21T08:41:12,legitimate,legitimate_trip,12,0.9469922634151426,0.05548898134596948,142.63,ATM,travel
TX_000092894,2025-06-24T15:04:21,legitimate,none,12,0.05559571765515023,0.05548898134596948,6576.63,ATM,electronics
